City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.76,62,100,7.02,PN,1688843415
1,hermanus,-34.4187,19.2345,9.89,67,83,9.23,ZA,1688843416
2,albany,42.6001,-73.9662,30.02,68,76,1.25,US,1688843566
3,wailua homesteads,22.0669,-159.378,27.24,73,75,8.75,US,1688843566
4,kidal,18.4411,1.4078,40.08,7,42,8.17,ML,1688843567
5,mogadishu,2.0371,45.3438,25.18,83,11,8.76,SO,1688843567
6,namsos,64.4662,11.4957,13.95,72,100,2.06,NO,1688843568
7,port-aux-francais,-49.35,70.2167,1.11,81,98,5.35,TF,1688843568
8,bredasdorp,-34.5322,20.0403,9.32,70,32,6.1,ZA,1688843569
9,waitangi,-43.9535,-176.5597,9.34,86,37,4.02,NZ,1688843426
10,ushuaia,-54.8,-68.3,4.79,70,75,9.77,AR,1688843137
11,bilibino,68.0546,166.4372,16.47,40,100,1.87,RU,1688843423
12,san ignacio de velasco,-16.3667,-60.95,33.4,28,27,5.16,BO,1688843571
13,fort morgan,40.2503,-103.8,24.36,73,75,6.04,US,1688843571
14,fale old settlement,-9.3852,-171.2468,28.34,75,92,8.09,TK,1688843447
15,nar'yan-mar,67.6713,53.087,5.96,81,100,4.97,RU,1688843425
16,lihue,21.9789,-159.3672,27.58,66,75,8.75,US,1688843463
17,nova sintra,14.8667,-24.7167,22.68,85,100,5.99,CV,1688843556
18,hithadhoo,-0.6,73.0833,27.52,67,100,0.56,MV,1688843444
19,dadukou,26.5479,101.7054,23.25,93,100,0.71,CN,1688843574
20,gadzhiyevo,69.2551,33.3362,6.48,78,99,5.15,RU,1688843429
21,ulsteinvik,62.3432,5.8487,18.88,77,100,1.34,NO,1688843575
22,edinburgh of the seven seas,-37.0676,-12.3116,14.7,81,94,11.9,SH,1688843429
23,yellowknife,62.456,-114.3525,25.31,38,18,4.92,CA,1688843426
24,muroto-misakicho,33.2833,134.15,25.99,94,100,7.38,JP,1688843576
25,inari,68.906,27.0288,15.11,64,100,3.58,FI,1688843577
26,les avirons,-21.2418,55.3394,21.03,60,0,3.6,RE,1688843577
27,kavaratti,10.5669,72.642,28.0,78,100,6.28,IN,1688843440
28,weno,7.4515,151.8468,26.97,94,100,2.06,FM,1688843525
29,fort bragg,35.139,-79.006,31.75,71,75,2.57,US,1688843539
30,pyhajarvi,67.0701,27.2176,13.38,58,14,2.01,FI,1688843579
31,bethel,41.3712,-73.414,30.92,64,100,2.06,US,1688843217
32,nogliki,51.8333,143.1667,15.42,92,27,4.01,RU,1688843580
33,dharchula,29.85,80.5333,22.76,90,100,1.35,IN,1688843581
34,stanley,54.868,-1.6985,20.16,87,20,3.09,GB,1688843443
35,ilulissat,69.2167,-51.1,7.01,87,75,2.57,GL,1688843412
36,zhanibek,49.4167,46.85,31.74,26,100,2.62,KZ,1688843584
37,invercargill,-46.4,168.35,4.81,94,100,1.81,NZ,1688843278
38,tralee,52.2704,-9.7026,15.67,76,100,3.46,IE,1688843446
39,kemijarvi,66.7131,27.4306,13.62,58,18,1.93,FI,1688843585
40,beira,-19.8436,34.8389,20.05,100,20,3.6,MZ,1688843511
41,blackmans bay,-43.0167,147.3167,7.07,90,11,7.29,AU,1688843434
42,monument,39.0917,-104.8728,25.17,69,40,7.2,US,1688843587
43,mokhsogollokh,61.4681,128.9203,9.81,44,64,5.57,RU,1688843587
44,colchani,-20.3,-66.9333,8.97,19,40,3.73,BO,1688843588
45,al khums,32.6486,14.2619,29.12,54,0,5.73,LY,1688843589
46,puerto ayora,-0.7393,-90.3518,30.98,88,49,4.02,EC,1688843432
47,sitka,57.0531,-135.33,16.94,67,0,7.72,US,1688843492
48,college,64.8569,-147.8028,14.48,71,75,8.75,US,1688843432
49,salinopolis,-0.6136,-47.3561,27.44,80,92,4.53,BR,1688843513
50,bokovskaya,49.229,41.8306,26.55,48,100,6.71,RU,1688843591
51,clorinda,-25.2848,-57.7185,27.09,46,69,1.42,AR,1688843592
52,queenstown,-31.8976,26.8753,8.62,46,4,5.32,ZA,1688843549
53,puerto colombia,10.9878,-74.9547,35.05,75,100,4.14,CO,1688843593
54,nemuro,43.3236,145.575,12.26,98,60,1.27,JP,1688843593
55,papatowai,-46.5619,169.4708,6.47,90,100,2.97,NZ,1688843450
56,sao gabriel da cachoeira,-0.1303,-67.0892,29.69,61,100,1.32,BR,1688843594
57,quellon,-43.1167,-73.6167,9.14,87,100,6.69,CL,1688843476
58,guiglo,6.5456,-7.4966,23.71,97,53,0.62,CI,1688843595
59,enewetak,11.3474,162.3373,28.26,78,96,6.6,MH,1688843429
60,mana,5.6592,-53.7767,28.67,71,2,2.87,GF,1688843596
61,brenham,30.1669,-96.3977,36.03,53,40,2.57,US,1688843597
62,revda,56.801,59.9303,17.52,70,10,2.03,RU,1688843597
63,saipan,15.1355,145.701,28.39,100,20,4.92,MP,1688843546
64,afaahiti,-17.75,-149.2833,26.93,86,92,8.77,PF,1688843438
65,hailar,49.2,119.7,15.9,93,100,2.67,CN,1688843599
66,tiksi,71.6872,128.8694,1.75,69,100,5.56,RU,1688843422
67,vorgashor,67.5833,63.95,9.61,76,97,2.39,RU,1688843434
68,thompson,55.7435,-97.8558,15.09,88,100,4.12,CA,1688843436
69,brownsburg,39.8434,-86.3978,26.09,74,100,4.63,US,1688843601
70,port lincoln,-34.7333,135.8667,12.31,80,0,5.2,AU,1688843438
71,aasiaat,68.7098,-52.8699,3.98,93,100,2.18,GL,1688843415
72,waterloo,43.4668,-80.5164,23.59,69,100,3.6,CA,1688843581
73,grytviken,-54.2811,-36.5092,-7.07,83,23,5.45,GS,1688843412
74,rongelap,11.1635,166.8941,27.82,80,94,7.14,MH,1688843514
75,santa ana,33.7456,-117.8678,30.48,59,20,5.14,US,1688843077
76,vladimirovac,45.0331,20.8639,23.73,62,5,3.02,RS,1688843604
77,longyearbyen,78.2186,15.6401,7.91,81,75,4.63,SJ,1688843416
78,margate,51.3813,1.3862,24.37,62,53,1.37,GB,1688843532
79,iqaluit,63.7506,-68.5145,6.85,93,100,1.54,CA,1688843185
80,nueva gerona,21.8833,-82.8,32.55,55,5,5.71,CU,1688843606
81,machico,32.7,-16.7667,24.45,83,40,1.03,PT,1688843554
82,jamestown,42.097,-79.2353,26.96,46,75,0.0,US,1688843204
83,karema,-6.8205,30.4389,22.22,57,5,1.13,TZ,1688843607
84,san jose de jachal,-30.2406,-68.7469,22.57,8,0,1.6,AR,1688843609
85,olonkinbyen,70.9221,-8.7187,5.83,92,100,7.05,SJ,1688843428
86,cabo san lucas,22.8909,-109.9124,35.9,55,0,5.14,MX,1688843485
87,ribeira grande,38.5167,-28.7,23.22,64,20,3.6,PT,1688843612
88,loanda,-8.8368,13.2343,22.0,78,75,3.6,AO,1688843489
89,brandon,27.9378,-82.2859,32.25,77,75,4.63,US,1688843586
90,puerto natales,-51.7236,-72.4875,2.25,69,0,2.06,CL,1688843430
91,palmer,42.1584,-72.3287,32.51,58,40,3.09,US,1688843402
92,ancud,-41.8697,-73.8203,8.62,89,100,10.28,CL,1688843434
93,vilhena,-12.7406,-60.1458,32.53,28,0,1.68,BR,1688843403
94,ust'-ilimsk,58.0006,102.6619,16.38,72,70,1.36,RU,1688843465
95,hawaiian paradise park,19.5933,-154.9731,23.91,84,100,5.66,US,1688843448
96,port alfred,-33.5906,26.891,12.32,77,33,3.13,ZA,1688843526
97,kapa'a,22.0752,-159.319,27.99,75,75,8.75,US,1688843203
98,kapuskasing,49.4169,-82.4331,19.0,63,87,2.57,CA,1688843471
99,williams lake,52.1415,-122.1445,29.47,39,0,1.54,CA,1688843620
100,namibe,-15.1961,12.1522,17.97,88,7,2.05,AO,1688843529
101,"laikit, laikit ii (dimembe)",1.4792,124.9735,22.47,94,40,0.51,ID,1688843622
102,pisco,-13.7,-76.2167,22.23,68,0,5.66,PE,1688843557
